"GEO_ID","NAME","NAICS2022","NAICS2022_LABEL","TYPOP","TYPOP_LABEL","TAXSTAT","TAXSTAT_LABEL","YEAR","FIRM","ESTAB","RCPTOT","PAYANN","PAYQTR1","EMP","RCPTOT_IMP","PAYANN_IMP","EMP_IMP",
"Geographic identifier code","Geographic Area Name","2022 NAICS code","Meaning of NAICS Code","Type of operation code","Meaning of Type of operation code","Tax status code","Meaning of Tax status code","Year","Number of firms","Number of establishments","Sales, value of shipments, or revenue ($1,000)","Annual payroll ($1,000)","First-quarter payroll ($1,000)","Number of employees","Range indicating percent of total sales, value of shipments, or revenue imputed","Range indicating percent of total annual payroll imputed","Range indicating percent of total employees imputed",
"0100000US","United States","313","Textile mills","00","All establishments","00","All establishments","2022","1554","1770","27616159","4163206","1015805","83285","40% to less than 50%","20% to less than 30%","30% to less than 40%",
"0100000US","United States","314","Textile product mills","00","All establishments","00","All establishments","2022","4713","4911","23563164","4462059","1096606","102752","40% to less than 50%","20% to less than 30%","30% to less than 40%",
"0100000US","United States","315","Apparel manufacturing","00","All establishments","00","All establishments","2022","4673","4767","10623985","2613019","624999","71094","30% to less than 40%","10% to less than 20%","40% to less than 50%",
"0100000US","United States","316","Leather and allied product manufacturing","00","All establishments","00","All establishments","2022","1056","1083","5085358","1155085","286939","27014","40% to less than 50%","10% to less than 20%","40% to less than 50%",
"0100000US","United States","321","Wood product manufacturing","00","All establishments","00","All establishments","2022","11979","14183","171207559","22701789","5448293","434983","20% to less than 30%","10% to less than 20%","20% to less than 30%",
"0100000US","United States","322","Paper manufacturing","00","All establishments","00","All establishments","2022","2295","3876","220361743","24681642","6168268","348373","20% to less than 30%","10% to less than 20%","20% to less than 30%",
"0100000US","United States","323","Printing and related support activities","00","All establishments","00","All establishments","2022","21320","22692","90809221","21284496","5152936","380266","20% to less than 30%","10% to less than 20%","30% to less than 40%",
"0100000US","United States","324","Petroleum and coal products manufacturing","00","All establishments","00","All establishments","2022","853","2089","882238388","12450219","3340001","101287","20% to less than 30%","20% to less than 30%","20% to less than 30%",
"0100000US","United States","325","Chemical manufacturing","00","All establishments","00","All establishments","2022","10739","14709","910683719","75870971","19141600","885908","40% to less than 50%","30% to less than 40%","30% to less than 40%",
"0100000US","United States","326","Plastics and rubber products manufacturing","00","All establishments","00","All establishments","2022","8400","11493","304823235","46737383","11500030","828231","30% to less than 40%","20% to less than 30%","30% to less than 40%",
"0100000US","United States","327","Nonmetallic mineral product manufacturing","00","All establishments","00","All establishments","2022","9050","15212","164466767","26111392","6336483","427838","30% to less than 40%","20% to less than 30%","30% to less than 40%",
"0100000US","United States","331","Primary metal manufacturing","00","All establishments","00","All establishments","2022","2614","3488","320123059","26925335","6643194","344938","20% to less than 30%","10% to less than 20%","20% to less than 30%",
"0100000US","United States","332","Fabricated metal product manufacturing","00","All establishments","00","All establishments","2022","49297","53748","467507937","88414102","21212966","1431027","20% to less than 30%","10% to less than 20%","20% to less than 30%",
"0100000US","United States","333","Machinery manufacturing","00","All establishments","00","All establishments","2022","18688","21387","443377149","77102019","18947635","1078515","30% to less than 40%","20% to less than 30%","30% to less than 40%",
"0100000US","United States","334","Computer and electronic product manufacturing","00","All establishments","00","All establishments","2022","9965","11554","360027782","76441122","19770997","843387","50% to less than 60%","30% to less than 40%","30% to less than 40%",
"0100000US","United States","335","Electrical equipment, appliance, and component manufacturing","00","All establishments","00","All establishments","2022","4502","5247","170367735","24877532","6116860","371253","30% to less than 40%","30% to less than 40%","30% to less than 40%",
"0100000US","United States","336","Transportation equipment manufacturing","00","All establishments","00","All establishments","2022","9446","11848","1024323148","119925945","30582664","1641383","30% to less than 40%","30% to less than 40%","30% to less than 40%",
"0100000US","United States","337","Furniture and related product manufacturing","00","All establishments","00","All establishments","2022","13780","14357","87185411","18456621","4473308","374584","30% to less than 40%","20% to less than 30%","30% to less than 40%",
"0100000US","United States","339","Miscellaneous manufacturing","00","All establishments","00","All establishments","2022","24495","26060","169340941","36098768","8863583","556678","40% to less than 50%","20% to less than 30%","30% to less than 40%",
"0100000US","United States","42","Wholesale trade","00","All establishments","00","All establishments","2022","265044","376526","11643585918","514261571","127679513","6246888","20% to less than 30%","20% to less than 30%","20% to less than 30%",
"0100000US","United States","42","Wholesale trade","10","Merchant wholesalers, except manufacturers' sales branches and offices","00","All establishments","2022","231149","322798","7763445210","408816318","99193814","5134106","20% to less than 30%","20% to less than 30%","20% to less than 30%",
"0100000US","United States","42","Wholesale trade","20","Manufacturers' sales branches and offices","00","All establishments","2022","2518","18722","3152017528","89184548","24704177","862447","20% to less than 30%","40% to less than 50%","30% to less than 40%",
"0100000US","United States","423","Merchant wholesalers, durable goods","00","All establishments","00","All establishments","2022","143045","219992","4861191980","312146320","75902582","3634235","20% to less than 30%","20% to less than 30%","20% to less than 30%",
"0100000US","United States","423","Merchant wholesalers, durable goods","10","Merchant wholesalers, except manufacturers' sales branches and offices","00","All establishments","2022","141999","209470","3654329516","264419293","63319234","3189194","20% to less than 30%","20% to less than 30%","20% to less than 30%",
"0100000US","United States","423","Merchant wholesalers, durable goods","20","Manufacturers' sales branches and offices","00","All establishments","2022","1677","10522","1206862464","47727027","12583348","445041","30% to less than 40%","40% to less than 50%","40% to less than 50%",
"0100000US","United States","424","Merchant wholesalers, nondurable goods","00","All establishments","00","All establishments","2022","90553","121528","6054270758","185854546","47995409","2362318","20% to less than 30%","20% to less than 30%","20% to less than 30%",
"0100000US","United States","424","Merchant wholesalers, nondurable goods","10","Merchant wholesalers, except manufacturers' sales branches and offices","00","All establishments","2022","89924","113328","4109115694","144397025","35874580","1944912","10% to less than 20%","20% to less than 30%","20% to less than 30%",
"0100000US","United States","424","Merchant wholesalers, nondurable goods","20","Manufacturers' sales branches and offices","00","All establishments","2022","933","8200","1945155064","41457521","12120829","417406","20% to less than 30%","40% to less than 50%","30% to less than 40%",
"0100000US","United States","425","Wholesale electronic markets and agents and brokers","00","All establishments","00","All establishments","2022","32828","35006","728123180","16260705","3781522","250335","40% to less than 50%","10% to less than 20%","20% to less than 30%",
"0100000US","United States","44-45","Retail trade","00","All establishments","00","All establishments","2022","644451","1041555","6968618330","614538095","146976511","17140339","10% to less than 20%","20% to less than 30%","20% to less than 30%",
"0100000US","United States","441","Motor vehicle and parts dealers","00","All establishments","00","All establishments","2022","80070","121964","1589851053","129473210","30502707","2067615","10% to less than 20%","10% to less than 20%","10% to less than 20%",
"0100000US","United States","444","Building material and garden equipment and supplies dealers","00","All establishments","00","All establishments","2022","49377","78123","549803824","54567426","13117104","1458404","Less than 10%","Less than 10%","Less than 10%",
"0100000US","United States","445","Food and beverage retailers","00","All establishments","00","All establishments","2022","125225","160962","974756609","99317862","23620142","3476050","Less than 10%","10% to less than 20%","20% to less than 30%",
"0100000US","United States","449","Furniture, home furnishings, electronics, and appliance retailers","00","All establishments","00","All establishments","2022","51840","77242","352372816","32825887","7785069","773183","10% to less than 20%","20% to less than 30%","30% to less than 40%",
"0100000US","United States","455","General merchandise retailers","00","All establishments","00","All establishments","2022","11231","62313","1302868451","129357344","32395575","3998251","20% to less than 30%","30% to less than 40%","30% to less than 40%",
"0100000US","United States","456","Health and personal care retailers","00","All establishments","00","All establishments","2022","49872","99085","647728440","47147160","11645224","1146920","Less than 10%","30% to less than 40%","30% to less than 40%",
"0100000US","United States","457","Gasoline stations and fuel dealers","00","All establishments","00","All establishments","2022","68085","120805","761984266","30967920","7295575","1102322","10% to less than 20%","20% to less than 30%","20% to less than 30%",
"0100000US","United States","458","Clothing, clothing accessories, shoe, and jewelry retailers","00","All establishments","00","All establishments","2022","61998","130550","394426322","41804058","9520690","1581317","10% to less than 20%","20% to less than 30%","20% to less than 30%",
"0100000US","United States","459","Sporting goods, hobby, musical instrument, book and miscellaneous retailers","00","All establishments","00","All establishments","2022","149233","190511","394826549","49077228","11094425","1536277","20% to less than 30%","10% to less than 20%","20% to less than 30%",
"0100000US","United States","48-49(107)","Transportation and warehousing(107)","00","All establishments","00","All establishments","2022","237459","294054","1366617631","351921997","84492553","6311223","30% to less than 40%","20% to less than 30%","20% to less than 30%",
"0100000US","United States","481","Air transportation","00","All establishments","00","All establishments","2022","2436","4448","284689221","51432982","12903371","557154","50% to less than 60%","40% to less than 50%","50% to less than 60%",
"0100000US","United States","483","Water transportation","00","All establishments","00","All establishments","2022","1308","1644","49111066","5928072","1552013","71136","30% to less than 40%","10% to less than 20%","40% to less than 50%",
"0100000US","United States","484","Truck transportation","00","All establishments","00","All establishments","2022","155267","171824","441508783","98377966","22630024","1707857","20% to less than 30%","10% to less than 20%","20% to less than 30%",
